GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US33015,174432,75075,25949,42081,14152,17175
0500000US33017,72181,24801,12932,19851,5060,9537
0500000US34001,124776,37493,38215,27951,9073,12044
0500000US34003,480735,234425,64549,111966,31372,38423
0500000US34005,225346,100350,29957,57449,15630,21960
0500000US34007,252902,102186,43984,64660,16871,25201
0500000US34009,42984,14388,10065,10508,4406,3617
0500000US34011,61139,15099,12963,12649,8718,11710
0500000US34013,366389,141667,73918,83339,22695,44770
0500000US34015,150720,64007,24132,34550,13666,14365
0500000US34017,357396,144003,62717,79688,20330,50658
0500000US34019,67195,35701,7170,15317,5173,3834
0500000US34021,179882,82865,29595,38132,12172,17118
0500000US34023,406786,182122,57147,90028,25941,51548
0500000US34025,320826,140543,49332,83232,25490,22229
0500000US34027,260476,132335,32866,62690,11735,20850
0500000US34029,250677,89249,47538,70855,24433,18602
0500000US34031,245227,79111,44499,58511,19660,43446
0500000US34033,29551,8940,5953,6997,3149,4512
0500000US34035,175870,93254,22214,36813,9547,14042
0500000US34037,74088,28732,11772,19862,7050,6672
0500000US34039,281060,107969,45510,64358,21342,41881
0500000US34041,56368,20849,9627,14082,5524,6286
0500000US35001,318825,127473,63714,78265,25495,23878
0500000US35005,27570,7676,6190,7528,4137,2039
0500000US35013,87757,28388,21831,20334,9508,7696
0500000US35025,26725,7339,4930,5893,4783,3780
0500000US35031,23606,6784,5481,5632,2051,3658
0500000US35035,24892,8344,5952,5556,3370,1670
0500000US35043,60148,23506,10980,16403,5789,3470
0500000US35045,46106,14929,8326,9359,6566,6926
0500000US35049,70895,30525,13701,16258,4938,5473
0500000US35061,28885,7448,6016,6952,4245,4224
0500000US36001,160716,71734,30151,38879,7922,12030
0500000US36005,610064,151808,210654,134728,43432,69442
0500000US36007,86124,33468,16651,21288,5753,8964
0500000US36009,34192,11113,6480,8046,3448,5105
0500000US36011,37077,12254,6803,8543,4539,4938
0500000US36013,53602,17830,8866,12506,4367,10033
0500000US36015,37717,14659,6889,8736,3241,4192
0500000US36019,37974,12757,7750,9042,3881,4544
0500000US36027,144424,55918,27927,33600,15096,11883
0500000US36029,442651,169413,80780,113913,25286,53259
0500000US26025,59591,19577,10330,11909,3607,14168
0500000US26037,38291,15231,6207,9078,3586,4189
0500000US26045,52697,17508,7479,12753,4869,10088
0500000US26049,166593,51619,32191,41204,15381,26198
0500000US26055,45606,17492,8241,11115,3592,5166
0500000US26065,141831,56715,28096,34050,7965,15005
0500000US26073,34201,10516,8878,7676,2790,4341
0500000US26075,68244,21516,13024,16395,5404,11905
0500000US26077,133405,48977,25964,30223,9460,18781
0500000US26081,328418,120466,51692,76072,24933,55255
0500000US26087,39137,11159,6737,7955,4454,8832
0500000US26091,45073,14637,7379,10329,3817,8911
0500000US26093,97099,38186,15001,23969,8322,11621
0500000US26099,417535,147490,69612,98491,33639,68303
0500000US26103,30540,11585,5508,7566,3306,2575
0500000US26111,38650,13431,8351,8263,3944,4661
0500000US26115,69453,22600,10018,14551,6781,15503
0500000US26121,74177,18881,14421,17760,6276,16839
0500000US26125,638219,315314,88174,143957,32603,58171
0500000US26139,144254,47441,26495,32929,12813,24576
0500000US26145,82756,26151,16813,20678,6867,12247
0500000US26147,72385,20670,13044,15500,7595,15576
0500000US26155,31010,8622,6033,7004,3437,5914
0500000US26159,33966,9611,6921,7219,3529,6686
0500000US26161,186355,102442,29494,29825,7110,17484
0500000US39009,27904,9748,6160,6567,1841,3588
0500000US39013,29503,9206,6014,6066,3611,4606
0500000US39017,180582,71305,27819,42083,13276,26099
0500000US39023,61615,17782,11502,13290,5043,13998
0500000US39025,102650,35008,18080,25967,10272,13323
0500000US39029,46506,13030,7720,9753,4638,11365
0500000US39035,592427,231509,111971,139771,31722,77454
0500000US39041,100332,52030,13555,24896,3403,6448
0500000US39043,33420,11129,6950,6135,2800,6406
0500000US39045,72149,27858,11913,17097,6085,9196
0500000US39049,661229,281695,106820,161956,31893,78865
0500000US39055,47779,18524,6590,11557,4427,6681
0500000US39057,74108,33809,11389,17542,3985,7383
